#j-A,#j-B,len,#steps,t(ms),fo-S-A,fo-S-B,fo-E-A,fo-E-B,sum-S,sum-E,diff_fo,foN-S-A,foN-S-B,foN-E-A,foN-E-B,max-diff-S,max-diff-E
10,10,100,5,60,4615,3243,4182,3774,7858,7956,98,0.334725345326052,0.19638914144694117,0.2651782846129136,0.2653591375503312,0.13833620387911086,0.00018085293741759711
20,20,100,14,876,18951,11542,16466,14269,30493,30735,242,0.34983392692784826,0.16790198154590832,0.25039017167553723,0.25040084707306004,0.18193194538193994,1.0675397522807994e-05
30,30,100,3,500,35441,34725,35037,35135,70166,70172,6,0.28776107685513813,0.27418876137712705,0.28115339951914425,0.2809490832344018,0.013572315478011077,0.00020431628474243402
40,40,100,4,1192,59559,58694,59082,59191,118253,118273,20,0.2732455532455532,0.2641843971631206,0.2688380688380688,0.2687980394341094,0.009061156082432631,4.002940395941845e-05
50,50,100,18,8217,65132,83666,72441,77429,148798,149870,1072,0.1840287291658165,0.26714103005239204,0.2266386059825223,0.22664918100901765,0.08311230088657554,1.0575026495346362e-05
60,60,100,22,15523,110421,145503,126910,132222,255924,259132,3208,0.20375744554630068,0.32826556513093935,0.2698514498272393,0.2698410603601107,0.12450811958463867,1.0389467128613106e-05
70,70,100,7,7317,182534,189206,185900,186052,371740,371952,212,0.25414978771193,0.27285404800505014,0.26379299478017726,0.2638039626404212,0.018704260293120167,1.0967860243960015e-05
80,80,100,8,14237,209889,224820,216138,219249,434709,435387,678,0.2383833623272781,0.2660652549183719,0.2528202675759907,0.2528188203516214,0.0276818925910938,1.44722436928868e-06
90,90,100,12,27203,283420,262639,276790,269842,546059,546632,573,0.2616149232336188,0.23618166191476725,0.24910973631596817,0.24910599098185784,0.02543326131885154,3.745334110322185e-06
100,100,100,19,49242,272077,308312,286964,294958,580389,581922,1533,0.2091969645486465,0.2546372866040172,0.23261568568228438,0.23261708025321423,0.045440322055370685,1.39457092984685e-06
120,120,100,53,216050,600309,477957,551102,532450,1078266,1083552,5286,0.3198064534208486,0.21646274490994988,0.26873477538404694,0.2687354612820451,0.10334370851089875,6.858979981760882e-07
150,150,100,9,69202,688054,688466,684534,692153,1376520,1376687,167,0.24406893574092367,0.2389772383609794,0.24160973953479273,0.24160703790563248,0.005091697379944277,2.7016291602455222e-06
170,170,100,11,117357,857399,903212,868526,892566,1760611,1761092,481,0.23602946250657741,0.24806942248922792,0.2420283885548664,0.24202888518439925,0.012039959982650505,4.966295328312498e-07
200,200,100,45,742138,1411370,1299500,1367247,1346358,2710870,2713605,2735,0.2666596028162219,0.23300498535006778,0.2500809712644067,0.2500812670369237,0.03365461746615414,2.9577251697832097e-07
220,220,100,4,95321,1770573,1713406,1768521,1715506,3483979,3484027,48,0.2582074576071351,0.25697344921329135,0.2575774137251314,0.2575778901270333,0.001234008393843744,4.7640190192765886e-07
250,250,100,26,834784,2187772,2102475,2161699,2129601,4290247,4291300,1053,0.259844095324738,0.24723125385172434,0.25356567168995137,0.2535658881600533,0.01261284147301367,2.1647010195469107e-07
